ID,Soil_Type,Region,Irrigation,pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Matter,Electrical_Conductivity,Bulk_Density,Clay_Percent,Temperature,Rainfall_7d,Sunlight_hours,Slope,Suitability
1366,Sandy,Plain,None,6.414,24.577,113.75,29.438,126.427,,0.242,1.699,13.59,8.396,21.793,9.675,3.329,Favorable
1367,Silt,Mountain,None,6.778,11.86,81.667,35.77,179.912,1.221,0.715,1.14,14.426,21.835,36.217,5.521,18.649,Unfavorable
1368,Silt,Hill,Drip,6.776,18.215,82.098,61.18,162.609,1.792,1.244,1.182,24.596,15.772,6.014,7.657,11.07,Favorable
1369,Silt,Plain,Sprinkler,7.373,32.002,82.059,65.37,103.618,3.603,0.786,1.303,31.312,25.881,3.105,8.815,2.443,Unfavorable
1370,Loam,Plain,None,7.596,18.945,124.426,48.944,156.092,2.547,0.826,1.661,26.671,14.065,29.292,9.979,10.952,Unfavorable
1371,Clay,Hill,Sprinkler,6.804,26.999,102.157,61.948,189.622,3.717,0.685,1.282,37.853,12.379,15.158,5.311,4.538,Favorable
1372,Clay,Plain,None,6.863,23.595,90.488,36.301,164.713,4.458,1.806,1.308,51.136,10.514,7.053,9.52,9.87,Favorable
1373,Sandy,Mountain,Drip,5.867,21.73,89.259,41.692,106.741,1.473,1.1,1.681,8.732,16.212,17.555,10.578,12.067,Unfavorable
1374,Clay,Hill,None,6.788,30.257,106.044,58.593,192.41,2.863,1.193,1.608,40.644,18.393,20.079,8.841,7.821,Favorable
1375,Clay,Hill,None,7.636,,92.205,54.373,146.489,3.262,0.704,1.444,46.48,27.577,6.617,8.607,4.711,Unfavorable
1376,Loam,Plain,Sprinkler,6.267,35.119,136.518,65.616,150.09,1.818,0.822,1.312,25.322,18.024,42.614,5.37,0.0,Favorable
1377,Sandy,Plain,Drip,7.262,,78.32,37.011,158.779,4.122,0.792,1.577,7.008,6.867,88.819,9.178,2.244,Favorable
1378,Clay,Hill,None,6.358,25.665,62.542,38.237,104.123,3.043,1.436,1.564,54.332,18.704,71.792,6.422,9.475,Favorable
1379,Loam,Mountain,Sprinkler,6.442,26.853,89.917,47.807,79.911,2.929,0.6,1.306,17.027,18.399,15.863,5.071,15.288,Unfavorable
1380,Sandy,Plain,None,6.286,15.603,81.021,48.235,119.811,3.69,0.87,1.601,8.08,13.817,40.57,8.864,0.0,Favorable
1381,Loam,Plain,Sprinkler,7.317,18.873,131.615,46.883,157.988,2.448,1.199,1.23,19.502,9.258,21.108,9.079,1.531,Favorable
1382,Loam,Plain,Sprinkler,7.16,19.549,149.803,54.132,149.866,1.277,0.602,1.446,25.713,18.393,12.248,6.5,1.765,Favorable
1383,Silt,Mountain,None,6.782,21.827,87.076,49.813,162.517,1.322,0.911,1.272,24.419,16.178,15.143,4.966,17.079,Unfavorable
1384,Loam,Plain,Sprinkler,6.947,,87.827,56.754,197.219,1.932,1.357,1.299,8.47,21.676,23.966,7.314,4.07,Favorable
1385,Loam,Hill,Drip,6.718,27.201,121.763,60.977,201.67,3.012,1.192,1.315,21.541,12.904,15.296,7.949,0.0,Favorable
1386,Clay,Hill,None,7.092,15.67,102.697,29.085,185.874,,1.142,1.352,49.975,23.237,21.024,6.21,10.729,Favorable
1387,Sandy,Hill,None,6.109,16.831,41.225,23.109,128.894,1.339,0.725,1.518,14.453,22.714,11.045,7.637,12.701,Unfavorable
1388,Loam,Hill,None,6.508,25.126,105.132,37.539,203.407,2.518,1.056,1.401,20.501,13.914,50.558,5.865,12.837,Favorable
1389,Clay,Plain,Sprinkler,7.327,,84.83,60.928,162.314,3.13,0.97,1.52,58.451,18.065,3.737,8.722,4.854,Favorable
1390,Sandy,Plain,Sprinkler,7.186,22.855,93.427,27.112,73.28,3.298,0.903,1.475,7.428,12.977,21.551,5.686,0.0,Favorable
1391,Clay,Plain,None,7.128,26.397,111.673,66.798,131.417,1.725,1.089,1.257,55.703,17.534,20.384,10.453,4.669,Favorable
1392,Loam,Mountain,None,6.333,9.996,138.531,65.598,147.097,2.024,0.873,1.233,18.89,15.056,22.985,6.451,17.887,Unfavorable
1393,Loam,Hill,Drip,7.158,31.008,126.405,22.085,174.828,1.182,1.355,1.212,16.188,14.228,19.723,6.032,9.077,Favorable
1394,Clay,Plain,Sprinkler,7.552,33.625,108.686,53.565,164.261,2.523,1.194,1.209,45.285,19.663,23.619,6.831,10.266,Unfavorable
1395,Sandy,Mountain,None,6.979,21.115,94.883,19.785,145.058,1.687,0.955,1.449,10.306,13.944,6.221,5.747,19.721,Unfavorable
1396,Loam,Plain,None,7.116,,148.161,58.453,150.24,2.74,1.276,1.4,33.292,13.309,29.366,8.174,5.296,Favorable
1397,Loam,Plain,Drip,6.687,28.436,103.461,71.285,127.171,2.346,0.803,1.341,7.713,18.898,14.832,8.017,6.044,Favorable
1398,Loam,Plain,None,6.457,15.543,120.547,56.797,156.816,,1.274,1.502,32.943,19.489,17.694,7.95,11.114,Favorable
1399,Sandy,Hill,Sprinkler,6.379,23.719,53.525,33.634,126.152,1.935,1.361,1.507,4.238,11.149,23.727,8.013,8.275,Unfavorable
1400,Loam,Plain,None,6.973,14.414,92.209,45.42,134.616,3.018,1.32,1.361,19.395,16.658,39.048,8.787,15.431,Favorable
1401,Loam,Plain,Sprinkler,6.268,31.837,104.472,20.752,106.953,2.822,1.212,1.33,19.397,18.871,27.633,6.363,7.18,Favorable
1402,Clay,Hill,None,6.704,9.734,114.359,50.881,179.215,4.833,0.76,1.442,57.255,14.576,7.536,5.922,0.0,Favorable
1403,Loam,Hill,Sprinkler,7.108,23.29,101.329,38.018,167.835,2.182,1.055,1.408,24.862,11.465,61.261,7.878,11.874,Favorable
1404,Loam,Plain,None,6.49,22.716,142.498,63.081,138.855,2.892,1.528,1.318,37.81,19.222,38.617,9.247,11.2,Favorable
1405,Loam,Plain,Sprinkler,6.492,32.061,135.03,67.554,151.901,2.676,0.89,1.349,24.802,13.47,28.436,6.472,3.995,Favorable
1406,Sandy,Hill,None,6.637,12.935,57.626,29.316,102.049,1.836,0.922,1.542,11.348,17.942,6.431,6.847,12.515,Unfavorable
1407,Clay,Hill,Sprinkler,7.127,19.181,70.992,77.886,196.98,3.444,1.769,1.566,45.154,17.519,30.81,6.667,5.672,Favorable
1408,Loam,Mountain,Sprinkler,6.464,24.491,94.681,42.758,121.422,1.202,0.949,1.0,20.073,13.583,26.496,6.059,15.443,Unfavorable
1409,Sandy,Plain,None,6.121,17.781,80.967,43.069,148.071,1.478,0.701,1.731,10.561,17.254,4.261,8.251,9.016,Unfavorable
1410,Loam,Hill,Sprinkler,7.234,23.905,132.451,41.635,171.953,,1.54,1.276,36.196,19.638,10.823,9.481,8.376,Favorable
1411,Sandy,Plain,Sprinkler,6.364,23.694,84.971,44.956,165.392,2.26,0.71,1.706,14.879,28.495,30.549,8.05,8.749,Favorable
1412,Sandy,Hill,Drip,6.011,24.07,66.245,36.266,88.822,1.861,0.753,1.435,7.319,10.515,17.224,7.686,15.821,Unfavorable
1413,Silt,Plain,Drip,6.713,28.55,100.378,40.18,159.385,3.032,0.863,1.435,15.219,12.467,27.765,5.151,5.532,Favorable
1414,Loam,Hill,None,6.593,15.936,116.286,65.089,178.137,2.386,0.774,1.339,32.145,22.201,33.548,7.517,10.086,Favorable
1415,Loam,Hill,None,7.046,20.81,104.386,66.885,154.879,2.65,0.857,1.316,16.697,11.133,8.408,5.928,11.338,Favorable
1416,Clay,Hill,Drip,7.535,,123.568,30.751,127.522,3.248,0.621,1.36,53.315,12.08,41.57,8.825,6.939,Favorable
1417,Sandy,Plain,Sprinkler,6.262,28.331,91.415,51.693,121.931,1.789,1.331,1.591,1.938,18.661,47.225,8.817,7.081,Favorable
1418,Silt,Plain,None,6.299,27.574,126.35,41.435,113.358,2.849,1.367,1.243,12.42,21.443,7.657,7.71,0.0,Favorable
1419,Sandy,Hill,None,6.584,22.273,62.307,39.083,65.981,2.645,0.148,1.513,8.623,11.629,16.194,9.364,3.776,Unfavorable
1420,Sandy,Mountain,Sprinkler,6.77,,82.725,51.508,59.598,3.249,0.935,1.524,6.5,22.422,37.038,7.268,21.341,Unfavorable
1421,Loam,Plain,None,6.433,30.992,103.743,50.091,112.92,4.794,0.891,1.409,29.985,16.187,24.636,8.576,4.452,Favorable
1422,Loam,Plain,None,7.185,22.164,136.25,54.656,141.198,2.504,1.408,1.455,36.735,13.065,16.983,7.111,2.58,Favorable
1423,Sandy,Plain,Sprinkler,6.494,29.405,63.158,57.577,143.797,3.613,0.791,1.573,20.226,19.67,1.381,8.275,10.578,Unfavorable
1424,Clay,Plain,Sprinkler,7.491,19.309,114.822,42.634,182.059,3.775,0.719,1.364,41.62,14.097,9.819,8.743,11.066,Favorable
1425,Sandy,Mountain,None,6.137,10.132,89.864,20.679,138.935,2.44,1.215,1.267,11.028,16.774,16.377,7.69,27.748,Unfavorable
1426,Sandy,Hill,None,6.357,21.401,67.736,46.458,107.509,1.843,1.176,1.321,1.485,21.429,14.494,7.58,11.214,Unfavorable
1427,Loam,Plain,Drip,7.31,23.059,140.309,63.225,197.112,2.861,0.882,1.391,25.396,17.72,8.301,6.125,3.31,Favorable
1428,Loam,Mountain,None,6.759,8.85,114.434,48.652,112.56,1.663,1.273,1.402,18.237,18.135,52.927,6.15,23.004,Unfavorable
1429,Sandy,Hill,Drip,6.531,24.95,135.597,39.786,164.373,2.175,1.141,1.522,7.038,10.804,18.573,6.049,15.313,Favorable
1430,Loam,Hill,None,6.374,20.832,87.018,35.478,175.792,2.363,1.519,1.386,22.738,21.232,48.863,9.479,10.654,Favorable
1431,Clay,Plain,None,7.171,15.645,89.665,42.128,131.708,3.373,0.768,1.361,47.59,19.885,49.197,8.459,8.58,Favorable
1432,Clay,Plain,Sprinkler,7.201,28.16,122.165,50.986,132.921,3.17,1.235,1.261,49.779,30.603,13.847,6.458,2.629,Favorable
1433,Clay,Mountain,Sprinkler,6.705,26.901,108.048,31.937,168.981,2.951,1.06,1.457,45.327,13.853,9.687,5.169,13.859,Unfavorable
1434,Loam,Hill,None,6.964,32.84,99.121,77.018,184.639,2.689,1.138,1.406,28.256,22.903,14.532,8.202,15.528,Favorable
1435,Silt,Plain,Sprinkler,7.005,27.131,96.742,47.994,158.459,2.09,1.27,1.43,27.864,15.138,20.584,8.862,2.999,Favorable
1436,Silt,Hill,None,6.799,,85.537,54.918,154.756,2.822,1.368,1.365,16.156,18.849,14.613,8.599,6.23,Favorable
1437,Sandy,Plain,None,6.559,15.221,96.867,25.663,73.953,2.666,0.562,1.659,3.479,15.081,12.613,7.819,6.427,Unfavorable
1438,Clay,Plain,None,6.841,,122.544,20.477,169.74,2.387,1.44,1.374,38.954,18.941,11.241,11.0,6.055,Favorable
1439,Loam,Plain,Sprinkler,6.544,26.02,96.901,32.696,223.482,3.527,1.2,1.311,27.849,20.016,26.586,7.915,3.877,Favorable
1440,Sandy,Plain,None,6.229,28.49,93.144,29.132,125.019,,1.44,1.538,11.546,14.871,11.202,6.719,0.774,Favorable
1441,Sandy,Plain,Drip,6.929,29.388,73.893,37.774,99.55,1.687,0.852,1.572,7.166,16.579,16.377,6.397,9.018,Favorable
1442,Loam,Plain,None,7.237,21.494,116.128,61.604,184.113,4.485,0.949,1.335,15.719,16.381,16.561,6.567,10.353,Favorable
1443,Silt,Plain,Drip,6.623,24.463,75.804,33.227,131.186,2.184,1.206,1.194,14.278,10.495,51.554,6.565,2.569,Favorable
1444,Clay,Hill,Sprinkler,7.433,22.284,82.55,58.943,141.739,,1.346,1.227,47.625,16.07,13.193,6.107,7.853,Favorable
1445,Clay,Mountain,None,6.89,16.369,101.994,43.882,176.02,2.77,1.19,1.345,45.259,9.818,1.386,5.693,11.371,Unfavorable
1446,Silt,Plain,None,7.017,30.001,121.974,63.93,115.23,,0.837,1.287,20.011,18.724,9.637,7.546,11.346,Favorable
1447,Silt,Mountain,Sprinkler,6.395,11.151,80.034,53.479,123.281,2.63,0.705,1.465,18.406,11.651,25.534,6.072,14.229,Unfavorable
1448,Sandy,Plain,None,6.485,21.552,77.193,42.421,178.787,2.274,0.806,1.715,6.346,16.28,29.668,6.769,3.259,Favorable
1449,Silt,Plain,Drip,6.817,27.602,129.571,41.994,171.033,3.265,0.722,1.42,27.692,14.716,19.728,7.308,7.38,Favorable
1450,Loam,Plain,None,7.148,13.619,127.308,46.141,193.78,2.67,0.709,1.24,25.461,18.194,16.128,7.451,1.664,Favorable
1451,Silt,Plain,Sprinkler,6.249,23.406,94.687,35.803,151.118,1.425,0.991,1.255,22.481,18.62,3.3,7.307,2.97,Favorable
1452,Loam,Hill,None,6.674,22.187,68.997,64.733,167.376,2.692,0.811,1.373,21.539,11.268,40.906,6.625,18.179,Favorable
1453,Clay,Hill,None,6.281,7.16,127.137,53.356,156.77,4.803,1.311,1.407,59.446,13.213,13.733,5.785,11.708,Unfavorable
1454,Loam,Hill,Drip,6.418,26.327,106.195,43.943,141.492,3.795,1.425,1.344,21.289,19.918,3.386,6.799,8.601,Favorable
1455,Silt,Plain,Sprinkler,6.555,26.712,101.333,47.435,204.792,,0.617,1.376,18.195,22.119,29.903,6.387,0.0,Favorable
1456,Loam,Plain,Sprinkler,6.967,25.945,93.536,60.819,171.696,3.918,1.027,1.293,27.151,18.116,23.719,4.708,5.17,Favorable
1457,Loam,Hill,Sprinkler,6.698,21.533,125.547,21.484,171.577,2.967,0.771,1.194,25.665,15.757,29.38,6.274,7.917,Favorable
1458,Loam,Plain,None,7.193,26.224,139.938,67.747,157.903,1.962,1.138,1.358,19.662,21.351,9.391,6.695,3.542,Favorable
1459,Clay,Hill,Sprinkler,7.138,18.386,100.364,31.839,183.939,3.78,1.414,1.592,53.82,21.517,16.085,8.818,12.306,Favorable
1460,Loam,Hill,None,6.857,11.491,118.498,49.955,96.539,2.057,0.841,1.151,29.452,14.62,32.459,6.495,21.751,Unfavorable
1461,Sandy,Plain,Sprinkler,6.874,27.036,98.219,21.864,106.498,3.845,0.777,1.42,1.0,12.422,35.664,6.029,9.033,Favorable
1462,Clay,Plain,None,7.282,17.838,136.975,55.259,145.189,3.434,0.973,1.333,49.006,15.106,38.264,6.127,7.005,Favorable
1463,Sandy,Plain,None,6.853,27.675,92.436,35.403,125.529,3.667,0.787,1.561,9.284,12.77,17.721,6.377,0.0,Favorable
1464,Sandy,Hill,None,6.638,23.333,111.304,38.835,96.995,1.605,0.964,1.485,10.032,21.173,20.877,5.163,13.946,Unfavorable
1465,Clay,Hill,Sprinkler,7.231,35.928,132.862,50.092,199.525,3.22,1.353,1.295,36.489,16.762,25.879,4.718,14.604,Favorable
1466,Sandy,Mountain,None,6.961,29.055,72.333,30.194,100.195,3.815,0.888,1.55,10.705,14.729,3.987,6.689,15.419,Unfavorable
1467,Clay,Hill,Sprinkler,7.326,35.788,123.064,43.806,168.84,2.643,1.368,1.401,52.02,20.082,16.885,8.652,6.568,Favorable
1468,Clay,Hill,Sprinkler,7.097,,137.051,39.5,156.494,2.223,0.904,1.514,43.99,14.424,4.8,5.247,13.883,Unfavorable
1469,Sandy,Hill,None,6.601,11.02,119.846,39.609,140.564,1.743,0.75,1.417,9.404,17.693,10.358,7.602,12.624,Unfavorable
1470,Sandy,Plain,None,7.369,27.661,88.0,30.587,137.15,,0.795,1.595,2.056,16.846,33.792,9.616,0.0,Favorable
1471,Loam,Plain,None,6.908,,141.546,64.085,110.905,1.913,1.57,1.538,11.819,20.177,26.393,6.888,3.806,Favorable
1472,Clay,Plain,Drip,7.538,19.207,119.511,34.795,144.607,2.651,1.09,1.539,50.522,19.481,25.308,5.17,3.321,Favorable
1473,Loam,Plain,None,6.49,21.781,128.987,64.966,198.111,3.142,1.279,1.384,25.083,20.813,28.47,8.416,2.926,Favorable
1474,Loam,Plain,None,6.906,21.171,122.27,48.1,178.613,3.284,0.654,1.377,29.207,21.032,23.982,6.588,11.544,Favorable
1475,Loam,Hill,None,6.606,11.731,121.736,25.754,164.148,4.677,0.903,1.122,22.597,18.213,18.861,6.309,10.726,Favorable
1476,Clay,Hill,Sprinkler,7.462,,161.782,42.834,154.173,2.764,0.786,1.529,43.57,22.229,11.488,7.378,4.454,Favorable
1477,Loam,Plain,Sprinkler,7.674,27.509,108.098,57.033,179.614,3.999,1.6,1.179,22.513,11.636,18.346,6.097,10.543,Favorable
1478,Loam,Plain,None,6.898,29.391,121.33,28.48,166.873,3.576,1.877,1.654,26.561,19.324,46.753,6.845,3.643,Favorable
1479,Sandy,Plain,None,6.667,26.808,124.126,37.557,165.907,,0.867,1.514,1.0,21.083,30.252,6.053,5.99,Favorable
1480,Silt,Hill,Drip,7.335,23.472,118.576,22.929,181.145,4.731,0.695,1.388,15.021,25.766,55.954,6.089,8.646,Favorable
1481,Sandy,Mountain,None,6.446,18.133,63.242,36.168,124.888,,0.836,1.584,18.697,11.985,7.954,5.644,23.452,Unfavorable
1482,Sandy,Hill,Drip,5.871,,88.934,5.0,87.808,2.382,0.733,1.668,21.383,5.781,6.362,5.27,16.557,Unfavorable
1483,Sandy,Plain,Drip,6.518,30.157,142.005,32.466,100.68,4.054,0.559,1.454,4.87,14.852,25.312,5.879,2.227,Favorable
1484,Clay,Mountain,Sprinkler,7.313,13.416,54.852,75.068,195.536,1.645,1.642,1.619,48.53,11.127,8.598,6.227,16.119,Unfavorable
1485,Loam,Plain,None,6.997,26.639,117.416,46.202,148.502,1.53,0.694,1.336,23.783,12.824,26.216,5.541,9.879,Favorable
1486,Loam,Mountain,Drip,6.405,27.05,114.397,51.184,118.044,1.583,1.163,1.328,20.817,14.962,14.282,7.273,12.971,Favorable
1487,Loam,Plain,None,7.272,30.285,110.82,65.792,128.68,4.297,1.318,1.245,20.493,11.74,17.122,8.366,0.0,Favorable
1488,Clay,Plain,None,7.772,22.077,130.876,61.983,157.93,5.011,0.945,1.353,46.013,23.1,2.562,9.051,3.4,Unfavorable
1489,Sandy,Hill,Sprinkler,5.603,20.188,85.938,30.248,87.5,,0.862,1.678,14.759,6.079,7.635,6.184,11.134,Unfavorable
1490,Clay,Hill,Sprinkler,7.46,16.016,110.726,81.006,186.636,2.012,1.013,1.499,54.591,19.588,4.002,6.371,5.333,Unfavorable
1491,Sandy,Plain,Drip,5.998,26.569,144.003,28.765,117.067,2.315,0.564,1.576,8.006,22.031,10.0,8.026,3.49,Unfavorable
1492,Loam,Mountain,None,6.998,16.492,79.147,49.159,101.365,4.029,0.949,1.307,28.799,9.604,6.504,6.942,16.853,Unfavorable
1493,Clay,Plain,None,6.624,13.891,86.117,78.503,185.869,3.615,1.357,1.541,56.561,15.741,41.493,9.553,2.003,Favorable
1494,Sandy,Mountain,Sprinkler,6.715,31.337,74.301,7.864,141.29,2.897,0.365,1.605,1.0,17.292,14.808,6.311,7.443,Unfavorable
1495,Clay,Plain,None,6.873,13.531,98.834,53.57,193.55,3.062,1.171,1.369,47.673,16.591,12.155,8.511,5.929,Favorable
1496,Silt,Plain,Sprinkler,7.2,34.577,84.632,95.476,139.482,3.762,1.126,1.182,7.192,23.582,29.83,8.341,5.127,Favorable
1497,Loam,Hill,Drip,7.239,30.257,86.116,60.727,209.731,2.634,0.916,1.376,20.997,19.137,16.546,9.605,8.507,Favorable
1498,Sandy,Plain,None,6.299,24.046,129.68,37.446,118.003,1.475,1.356,1.571,3.248,15.891,46.291,7.024,0.0,Favorable
1499,Loam,Plain,Sprinkler,6.677,29.509,98.529,51.807,149.511,,1.265,1.402,24.641,19.029,19.655,8.739,9.213,Favorable
1500,Silt,Mountain,None,7.17,20.654,88.092,22.342,162.826,3.076,1.183,1.261,24.699,17.889,33.751,6.142,20.017,Unfavorable
1501,Loam,Plain,Sprinkler,6.593,21.768,91.303,53.606,151.078,3.373,1.128,1.054,33.415,10.37,39.757,7.723,10.411,Favorable
1502,Silt,Hill,Sprinkler,6.427,24.872,44.468,28.99,107.668,,0.791,1.225,18.788,13.435,17.889,8.786,1.939,Favorable
1503,Sandy,Mountain,Drip,5.876,30.746,68.067,41.231,91.15,3.294,0.135,1.502,9.261,21.843,2.508,7.972,29.028,Unfavorable
1504,Clay,Plain,Sprinkler,6.65,,114.673,33.724,184.715,4.314,1.437,1.48,51.948,17.106,24.16,6.76,0.006,Favorable
1505,Clay,Mountain,Drip,7.103,25.239,99.852,54.436,179.057,3.777,1.337,1.225,58.615,14.488,10.965,7.237,9.495,Favorable
1506,Sandy,Mountain,None,7.06,,76.819,16.652,72.679,2.373,0.558,1.541,12.805,30.865,28.81,5.944,9.476,Unfavorable
1507,Clay,Mountain,Sprinkler,6.98,26.321,102.292,53.788,156.621,,1.206,1.509,47.53,23.013,1.052,3.777,15.467,Unfavorable
1508,Loam,Plain,Sprinkler,6.937,35.987,124.814,53.837,158.143,3.257,0.944,1.34,23.009,17.565,18.023,6.531,3.119,Favorable
1509,Loam,Plain,Sprinkler,6.999,28.426,96.395,60.054,111.078,2.261,1.279,1.46,36.644,19.05,4.942,5.166,1.941,Favorable
1510,Loam,Plain,None,7.169,19.719,82.971,47.464,148.875,1.614,0.98,1.19,33.541,16.925,63.114,5.142,4.857,Favorable
1511,Loam,Plain,None,6.745,22.523,105.166,49.295,191.201,3.524,1.255,1.324,24.819,22.754,6.986,6.748,13.196,Favorable
1512,Sandy,Plain,Sprinkler,6.886,26.545,68.316,44.492,119.601,2.092,0.73,1.465,1.69,14.594,11.913,7.513,7.876,Unfavorable
1513,Sandy,Plain,Sprinkler,6.378,19.7,111.941,20.255,140.925,2.532,0.989,1.438,9.515,17.501,32.512,7.291,7.48,Favorable
1514,Sandy,Plain,Drip,6.351,15.81,96.703,39.509,111.91,1.584,0.661,1.663,7.502,22.201,10.584,8.587,1.165,Unfavorable
1515,Loam,Plain,None,7.024,25.608,127.544,60.052,146.633,3.123,0.882,1.189,33.288,13.692,11.04,5.722,7.569,Favorable
1516,Sandy,Plain,Drip,6.575,25.484,85.014,19.724,99.165,1.454,1.201,1.268,16.742,16.54,8.968,8.617,9.422,Unfavorable
1517,Sandy,Hill,Drip,6.387,30.275,86.894,32.806,129.738,1.541,0.93,1.772,3.027,16.994,11.604,7.305,18.068,Unfavorable
1518,Sandy,Plain,None,5.721,26.761,83.013,48.498,132.027,3.119,0.626,1.508,7.39,15.286,14.499,7.711,18.238,Unfavorable
1519,Loam,Hill,Drip,7.198,24.766,131.747,28.771,205.534,2.114,1.238,1.268,11.508,14.613,11.912,5.597,3.62,Favorable
1520,Sandy,Hill,Drip,6.633,24.227,61.525,43.21,130.483,2.802,0.752,1.62,11.061,14.277,23.678,6.08,13.163,Favorable
1521,Silt,Plain,None,7.098,,99.255,50.861,146.992,1.203,0.788,1.319,16.048,18.619,9.179,8.227,2.764,Favorable
1522,Loam,Plain,Sprinkler,7.249,27.674,158.383,50.093,141.108,,1.029,1.451,13.401,15.754,8.965,7.36,11.864,Favorable
1523,Clay,Mountain,None,7.175,,111.991,59.859,151.088,2.917,1.195,1.307,47.142,22.111,42.356,9.199,7.84,Unfavorable
1524,Silt,Mountain,Drip,5.975,20.673,104.523,30.53,187.224,3.171,1.11,1.327,9.766,12.817,19.941,6.695,19.332,Unfavorable
1525,Loam,Mountain,None,5.966,18.04,77.323,40.683,172.698,2.033,0.966,1.331,23.81,8.179,37.461,8.723,17.854,Unfavorable
1526,Loam,Plain,None,6.477,30.65,133.354,52.023,177.481,3.302,0.948,1.416,32.121,19.415,28.88,8.013,3.109,Favorable
1527,Sandy,Plain,None,6.935,19.403,96.494,22.762,119.72,3.304,0.682,1.566,2.55,14.591,11.842,5.526,0.0,Favorable
1528,Loam,Mountain,Drip,5.958,13.937,124.536,39.282,157.003,2.286,0.946,1.327,27.462,21.091,8.518,9.336,19.659,Unfavorable
1529,Loam,Hill,Sprinkler,6.943,27.44,104.212,59.922,110.171,1.803,0.991,1.299,21.154,18.499,12.463,5.265,12.581,Favorable
1530,Silt,Plain,Drip,6.387,31.048,116.701,57.236,127.535,2.581,1.332,1.175,16.245,17.138,30.092,8.153,1.599,Favorable
1531,Clay,Mountain,None,6.252,14.016,84.329,43.656,205.104,3.06,1.164,1.522,46.984,5.596,3.555,5.501,25.161,Unfavorable
1532,Sandy,Plain,Sprinkler,6.304,,96.651,30.445,115.393,,1.242,1.621,6.979,11.858,63.406,7.491,8.063,Favorable
1533,Clay,Plain,Sprinkler,6.492,33.538,117.845,72.208,140.975,3.727,1.234,1.36,52.198,13.075,22.399,5.839,10.358,Favorable
1534,Silt,Plain,Sprinkler,6.828,17.938,107.725,40.017,95.2,3.838,1.375,1.374,23.976,11.763,9.021,7.308,0.0,Favorable
1535,Loam,Plain,None,7.266,14.221,101.087,82.928,139.597,4.511,1.302,1.308,28.49,14.891,15.058,4.085,0.0,Favorable
1536,Clay,Plain,Drip,6.954,29.606,133.02,24.667,168.248,2.691,1.019,1.346,46.947,17.774,13.364,8.042,0.0,Favorable
1537,Loam,Plain,None,6.946,25.652,125.033,57.654,189.201,,1.164,1.384,31.694,14.945,15.49,7.513,0.0,Favorable
1538,Loam,Mountain,None,5.603,24.666,108.794,52.913,187.703,2.085,1.461,1.3,26.893,20.123,36.171,7.345,15.937,Unfavorable
1539,Silt,Mountain,Sprinkler,6.199,28.957,77.651,40.667,161.378,2.666,1.761,1.286,8.512,3.959,4.512,8.806,16.614,Unfavorable
1540,Loam,Plain,None,7.064,26.44,113.261,57.043,158.472,2.272,0.901,1.258,22.025,15.561,32.891,7.416,2.119,Favorable
1541,Sandy,Hill,None,6.121,28.802,87.292,50.765,110.226,5.136,0.542,1.619,10.227,23.342,27.262,4.633,18.057,Unfavorable
1542,Silt,Mountain,None,6.175,20.615,100.517,41.917,120.579,3.075,1.081,1.381,10.306,13.19,54.23,5.195,15.736,Unfavorable
1543,Clay,Plain,Sprinkler,6.74,22.224,121.689,47.505,142.056,3.172,1.066,1.468,49.586,19.331,49.317,7.282,9.462,Favorable
1544,Sandy,Plain,Drip,7.113,32.657,97.69,43.34,170.324,2.131,0.851,1.505,11.098,16.238,12.023,9.414,17.913,Unfavorable
1545,Clay,Mountain,None,7.455,14.935,108.404,18.453,132.135,2.572,1.78,1.35,51.689,18.199,6.302,9.915,18.384,Unfavorable
1546,Clay,Plain,Drip,6.769,29.837,95.497,45.362,194.355,3.777,1.466,1.38,49.353,17.135,13.422,8.282,6.614,Favorable
1547,Loam,Plain,None,6.973,19.482,126.697,51.282,185.094,1.282,1.115,1.39,21.378,19.759,54.178,8.365,10.813,Favorable
1548,Silt,Mountain,None,6.784,,135.647,42.429,131.486,0.4,0.817,1.146,17.27,24.331,24.91,8.331,14.22,Unfavorable
1549,Sandy,Hill,Sprinkler,6.436,24.521,84.027,41.664,100.104,4.715,1.16,1.513,1.0,20.191,2.859,4.455,3.406,Favorable
1550,Loam,Plain,Drip,6.786,26.92,115.127,61.448,140.052,3.718,1.188,1.286,29.329,22.414,22.648,4.737,3.681,Favorable
1551,Sandy,Plain,Sprinkler,6.883,30.13,81.765,62.259,135.985,2.747,0.81,1.518,5.87,15.947,25.76,4.27,1.639,Favorable
1552,Clay,Plain,None,7.081,20.53,101.445,44.116,174.961,4.494,1.383,1.33,43.071,21.931,20.49,5.645,3.438,Favorable
1553,Loam,Plain,Sprinkler,7.702,20.288,114.742,65.237,168.745,1.771,1.452,1.292,26.676,11.885,7.383,5.445,0.0,Unfavorable
1554,Loam,Hill,None,6.649,13.549,100.098,61.93,129.433,2.594,1.331,1.668,26.95,13.403,22.589,7.72,8.887,Favorable
1555,Clay,Plain,None,6.894,33.034,95.957,50.324,190.109,4.52,1.378,1.116,48.238,24.768,11.658,7.645,0.0,Favorable
1556,Clay,Hill,None,7.002,21.301,92.345,43.678,197.012,2.847,1.195,1.262,52.006,19.373,58.855,6.838,9.531,Favorable
